Store,StoreType,Assortment,CompetitionDistance,CompetitionOpen,CompetitionOpen_missing,Promo2,Promo2OpenSinceMonths,Store_avg_sales,Store_avg_customers
1097,b,b,720.0,130.0,0,0,0.0,9663.3314415437,2405.215664018161
494,b,other,1260.0,19.0,0,0,0.0,7641.564131668559,1081.6049943246312
733,b,b,860.0,159.0,0,0,0.0,14925.927355278092,3400.244040862656
682,b,other,150.0,76.0,0,0,0.0,11183.208853575483,1756.0544835414303
676,b,b,1410.0,52.0,0,0,0.0,7550.500583430572,1659.1131855309218
562,b,other,1210.0,0.0,1,0,0.0,17995.83427922815,3108.192962542565
530,a,other,18160.0,0.0,1,0,0.0,4501.527810650888,726.8449704142012
512,b,b,590.0,0.0,1,1,0.0,5415.337719298245,1268.1973684210527
769,b,b,840.0,0.0,1,1,0.25,10724.94551645857,3057.018161180477
423,b,other,1270.0,0.0,0,0,0.0,10747.385925085131,1872.9353007945517
353,b,b,900.0,0.0,1,1,0.0,5559.788505747127,1428.1264367816093
335,b,other,90.0,0.0,1,1,0.0,13262.189557321226,2388.8524404086265
274,b,b,3640.0,0.0,1,1,0.0,3959.5430539609642,972.5878300803674
262,b,other,1180.0,0.0,0,0,0.0,20695.578887627697,3402.395005675369
259,b,b,210.0,0.0,1,0,0.0,11547.419058553387,2347.3719862227326
85,b,other,1870.0,15.0,0,0,0.0,7260.399545970488,1016.66628830874
948,b,b,1430.0,0.0,1,0,0.0,6829.069204152249,1684.1776239907729
1102,a,other,850.0,2.0,0,1,0.0,7005.475438596492,709.3298245614035
1103,d,other,1340.0,75.0,0,1,0.0,4951.462277091907,381.9807956104252
1104,d,other,260.0,11.0,0,1,20.75,5452.133333333333,431.58245614035087
1105,c,other,330.0,50.0,0,1,0.0,4511.104539202201,506.9188445667125
1106,a,other,5330.0,16.0,0,1,0.0,4879.544459644323,557.8932968536252
1107,a,other,1400.0,7.0,0,1,33.0,6207.015761821366,669.3467600700525
1111,a,other,1900.0,0.0,0,1,0.0,5279.451169188445,455.6822558459422
1109,c,other,3490.0,21.0,0,1,6.75,4922.373684210526,452.6982456140351
1110,c,other,900.0,28.0,0,0,0.0,4520.365753424658,540.8493150684932
1112,c,other,1880.0,81.0,0,0,0.0,10307.116918844567,846.4951856946354
1113,a,other,9260.0,0.0,1,0,0.0,6631.4268125855,720.2106703146375
558,a,other,3000.0,35.0,0,0,0.0,3235.5718194254446,453.91792065663475
1101,d,other,4060.0,4.0,0,0,0.0,9943.015047879617,989.077975376197
1108,a,other,540.0,105.0,0,0,0.0,5725.231086657496,591.525447042641
1100,a,other,540.0,0.0,1,1,20.75,5420.461752433936,672.3018080667593
1083,d,other,11540.0,0.0,1,1,0.0,5098.16049382716,358.3141289437586
1085,c,other,4030.0,0.0,0,0,0.0,7592.448700410397,763.9480164158687
1086,a,other,180.0,0.0,0,1,19.75,7791.224965706448,850.3991769547325
1087,d,other,2210.0,14.0,0,0,0.0,6250.789329685363,614.1983584131327
1088,a,other,4300.0,46.0,0,1,0.0,5074.37689133425,485.9697386519945
1089,d,other,5220.0,44.0,0,0,0.0,10119.319119669875,1003.3039889958734
1090,a,other,330.0,0.0,1,1,20.75,6438.524071526823,786.0522696011004
1115,d,other,5350.0,0.0,1,1,6.75,6241.562414266118,430.0192043895748
1091,a,other,9990.0,0.0,1,0,0.0,8244.229822161422,696.530779753762
1093,c,other,10450.0,43.0,0,0,0.0,8321.507565337002,870.9779917469051
1094,d,other,2380.0,0.0,0,1,0.0,4534.629824561403,373.0859649122807
1095,a,other,690.0,67.0,0,1,20.75,4782.0,678.0521262002743
1096,a,other,1130.0,0.0,1,1,0.0,5415.063273727648,632.8101788170563
1098,a,other,1830.0,98.0,0,0,0.0,5254.191196698762,711.837689133425
1099,a,other,200.0,0.0,0,1,0.0,7708.774038461538,973.75
1084,a,other,190.0,0.0,1,1,33.0,6268.454794520548,809.4972602739726
1057,d,other,3230.0,14.0,0,0,0.0,6435.08755129959,643.155950752394
1048,d,other,1860.0,4.0,0,1,2.25,6836.143835616438,529.8506849315069
1078,d,other,670.0,0.0,1,1,14.25,6749.56,520.7889655172414
1077,a,other,3750.0,134.0,0,1,27.5,4485.680880330124,497.0770288858322
1076,a,other,90.0,0.0,1,1,0.0,3588.2283356258595,544.1980742778542
1075,a,other,1410.0,0.0,0,0,0.0,11467.783857729139,1093.9042407660738
1074,c,other,3330.0,135.0,0,1,20.75,5142.1829436038515,558.7620357634113
1073,a,other,1710.0,0.0,1,1,1.25,7109.470426409904,909.0949105914718
1072,a,other,5380.0,0.0,0,1,35.0,6779.493810178817,640.980742778542
1071,a,other,820.0,10.0,0,1,3.5,6018.154582763338,729.5485636114911
1070,c,other,400.0,51.0,0,0,0.0,7022.225718194254,870.9904240766074
1069,a,other,18050.0,0.0,1,1,20.75,6298.227709190672,797.2578875171467
1068,d,other,5010.0,0.0,1,1,0.0,4424.409655172414,308.8662068965517
1067,d,other,12020.0,42.0,0,0,0.0,5699.726315789474,487.6122807017544
1066,a,other,3350.0,0.0,1,0,0.0,11130.966987620357,1134.9601100412656
1065,a,other,1290.0,0.0,1,1,15.5,4181.207017543859,484.63508771929827
1064,a,other,420.0,0.0,1,0,0.0,9424.947730398899,1070.6946354883082
1063,a,other,6250.0,0.0,1,0,0.0,4254.235294117647,531.4555403556772
1049,a,other,370.0,6.0,0,1,20.75,3993.9333333333334,636.9824561403509
1056,d,other,5350.0,0.0,1,1,2.25,3799.635726795096,363.92994746059543
1062,d,other,190.0,4.0,0,1,2.25,6405.2984869326,594.2214580467676
1061,d,other,8110.0,0.0,1,0,0.0,7294.686896551724,550.711724137931
1060,a,other,3430.0,0.0,1,1,0.0,7318.048143053645,851.8019257221458
1059,c,other,3380.0,0.0,0,0,0.0,8397.807113543091,1155.106703146375
1058,a,other,180.0,0.0,1,1,27.5,7261.284731774415,703.7386519944979
1082,c,other,440.0,129.0,0,0,0.0,7078.585969738652,1043.1072902338376
1092,a,other,300.0,150.0,0,1,0.0,11908.482456140351,1165.2070175438596
1080,a,other,2410.0,0.0,1,1,0.0,10125.59298245614,839.2333333333333
1054,a,other,13190.0,0.0,1,1,0.0,6009.688098495212,617.7948016415869
1053,a,other,1710.0,0.0,0,0,0.0,8945.160054719563,1011.9192886456908
1052,a,other,5080.0,0.0,1,1,0.0,7268.569463548831,760.3012379642366
1051,c,other,200.0,174.0,0,1,12.0,7436.875350140056,1004.4173669467787
1050,d,other,13170.0,0.0,0,1,22.0,7402.322359396433,519.2798353909465
1055,c,other,1980.0,45.0,0,0,0.0,7934.606849315069,993.8287671232877
839,c,other,240.0,0.0,0,0,0.0,5216.262653898769,657.298221614227
1003,a,other,170.0,0.0,0,1,0.0,7405.711141678129,778.4621733149932
1045,a,other,26990.0,0.0,0,0,0.0,7450.47201946472,905.514598540146
1044,c,other,240.0,0.0,0,1,33.0,6656.557241379311,899.7172413793104
1043,c,other,420.0,82.0,0,0,0.0,8843.156808803302,1216.2338376891335
1042,a,other,3440.0,0.0,1,1,0.0,4130.346629986245,549.0453920220083
1041,c,other,1600.0,0.0,0,1,0.0,6095.933333333333,657.2877192982456
1040,a,other,4030.0,0.0,0,1,0.0,8681.960110041266,869.3658872077029
